
[Sun Sep 06 21:27:39.917714 2020] [php7:notice] [pid 6824] [client 127.0.0.1:57278] PHP Notice:  A non well formed numeric value encountered in /home/comeillfoo/itmo/c2/web/php_practice/index.php on line 146, referer: http://php_practice.com/?x=0&y=-4&radius=3&check=check
[Sun Sep 06 21:27:39.917809 2020] [php7:notice] [pid 6824] [client 127.0.0.1:57278] PHP Notice:  Unknown: Skipping numeric key 0 in Unknown on line 0, referer: http://php_practice.com/?x=0&y=-4&radius=3&check=check
[Sun Sep 06 21:30:42.071961 2020] [php7:notice] [pid 6825] [client 127.0.0.1:57492] PHP Notice:  Undefined index: x in /home/comeillfoo/itmo/c2/web/php_practice/index.php on line 129
[Sun Sep 06 21:30:42.071994 2020] [php7:notice] [pid 6825] [client 127.0.0.1:57492] PHP Notice:  Undefined index: radius in /home/comeillfoo/itmo/c2/web/php_practice/index.php on line 130
[Sun Sep 06 21:30:42.072004 2020] [php7:notice] [pid 6825] [client 127.0.0.1:57492] PHP Notice:  Undefined index: y in /home/comeillfoo/itmo/c2/web/php_practice/index.php on line 131
[Sun Sep 06 21:31:43.824664 2020] [php7:notice] [pid 6826] [client 127.0.0.1:57498] PHP Notice:  A non well formed numeric value encountered in /home/comeillfoo/itmo/c2/web/php_practice/index.php on line 146, referer: http://php_practice.com/?x=2&y=-4.00000000554&radius=5&check=check
[Sun Sep 06 21:31:43.824698 2020] [php7:notice] [pid 6826] [client 127.0.0.1:57498] PHP Notice:  A non well formed numeric value encountered in /home/comeillfoo/itmo/c2/web/php_practice/index.php on line 146, referer: http://php_practice.com/?x=2&y=-4.00000000554&radius=5&check=check
[Sun Sep 06 21:31:55.641762 2020] [php7:notice] [pid 6828] [client 127.0.0.1:57500] PHP Notice:  Undefined index: x in /home/comeillfoo/itmo/c2/web/php_practice/index.php on line 129
[Sun Sep 06 21:31:55.641801 2020] [php7:notice] [pid 6828] [client 127.0.0.1:57500] PHP Notice:  Undefined index: radius in /home/comeillfoo/itmo/c2/web/php_practice/index.php on line 130
[Sun Sep 06 21:31:55.641836 2020] [php7:notice] [pid 6828] [client 127.0.0.1:57500] PHP Notice:  Undefined index: y in /home/comeillfoo/itmo/c2/web/php_practice/index.php on line 131
[Sun Sep 06 21:32:13.882274 2020] [php7:notice] [pid 6834] [client 127.0.0.1:57504] PHP Notice:  A non well formed numeric value encountered in /home/comeillfoo/itmo/c2/web/php_practice/index.php on line 146, referer: http://php_practice.com/
[Sun Sep 06 21:32:13.882306 2020] [php7:notice] [pid 6834] [client 127.0.0.1:57504] PHP Notice:  A non well formed numeric value encountered in /home/comeillfoo/itmo/c2/web/php_practice/index.php on line 146, referer: http://php_practice.com/
[Sun Sep 06 21:37:02.714672 2020] [php7:notice] [pid 8787] [client 127.0.0.1:57586] PHP Notice:  Undefined index: x in /home/comeillfoo/itmo/c2/web/php_practice/index.php on line 129
[Sun Sep 06 21:37:02.714734 2020] [php7:notice] [pid 8787] [client 127.0.0.1:57586] PHP Notice:  Undefined index: radius in /home/comeillfoo/itmo/c2/web/php_practice/index.php on line 130
[Sun Sep 06 21:37:02.714745 2020] [php7:notice] [pid 8787] [client 127.0.0.1:57586] PHP Notice:  Undefined index: y in /home/comeillfoo/itmo/c2/web/php_practice/index.php on line 131
[Sun Sep 06 21:37:16.923271 2020] [php7:notice] [pid 8790] [client 127.0.0.1:57588] PHP Notice:  A non well formed numeric value encountered in /home/comeillfoo/itmo/c2/web/php_practice/index.php on line 146, referer: http://php_practice.com/
[Sun Sep 06 21:37:16.923336 2020] [php7:notice] [pid 8790] [client 127.0.0.1:57588] PHP Notice:  A non well formed numeric value encountered in /home/comeillfoo/itmo/c2/web/php_practice/index.php on line 146, referer: http://php_practice.com/
[Sun Sep 06 21:38:46.184774 2020] [php7:notice] [pid 8788] [client 127.0.0.1:57600] PHP Notice:  Undefined index: x in /home/comeillfoo/itmo/c2/web/php_practice/index.php on line 129
[Sun Sep 06 21:38:46.184842 2020] [php7:notice] [pid 8788] [client 127.0.0.1:57600] PHP Notice:  Undefined index: radius in /home/comeillfoo/itmo/c2/web/php_practice/index.php on line 130
[Sun Sep 06 21:38:46.184854 2020] [php7:notice] [pid 8788] [client 127.0.0.1:57600] PHP Notice:  Undefined index: y in /home/comeillfoo/itmo/c2/web/php_practice/index.php on line 131
[Sun Sep 06 21:39:04.135839 2020] [php7:notice] [pid 8789] [client 127.0.0.1:57604] PHP Notice:  A non well formed numeric value encountered in /home/comeillfoo/itmo/c2/web/php_practice/index.php on line 146, referer: http://php_practice.com/?x=1&y=-4.89898&radius=5&check=check
[Sun Sep 06 21:39:04.135907 2020] [php7:notice] [pid 8789] [client 127.0.0.1:57604] PHP Notice:  A non well formed numeric value encountered in /home/comeillfoo/itmo/c2/web/php_practice/index.php on line 146, referer: http://php_practice.com/?x=1&y=-4.89898&radius=5&check=check
